Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.01,symmetric,0.3896038228945366
75% Corpus,3,0.31,0.01,0.37148644291227406
75% Corpus,3,0.31,0.31,0.526052394308917
75% Corpus,3,0.31,0.61,0.5343789085494332
75% Corpus,3,0.31,0.9099999999999999,0.5168030497519418
75% Corpus,3,0.31,symmetric,0.453618662880913
75% Corpus,3,0.61,0.01,0.422654818795944
75% Corpus,3,0.61,0.31,0.5707126954082208
75% Corpus,3,0.61,0.61,0.5475211437347308
75% Corpus,3,0.61,0.9099999999999999,0.5171475184737855
75% Corpus,3,0.61,symmetric,0.531378959649931
75% Corpus,3,0.9099999999999999,0.01,0.3841845266255637
75% Corpus,3,0.9099999999999999,0.31,0.5300496427306699
75% Corpus,3,0.9099999999999999,0.61,0.5270272662255162
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.5082160495349124
75% Corpus,3,0.9099999999999999,symmetric,0.4959927047836573
75% Corpus,3,symmetric,0.01,0.35811416444298116
75% Corpus,3,symmetric,0.31,0.5189543158149259
75% Corpus,3,symmetric,0.61,0.5284374231599742
75% Corpus,3,symmetric,0.9099999999999999,0.5607923750808338
75% Corpus,3,symmetric,symmetric,0.45527406638897966
75% Corpus,3,asymmetric,0.01,0.42953987105637637
75% Corpus,3,asymmetric,0.31,0.4169695715759258
75% Corpus,3,asymmetric,0.61,0.4618075363723023
75% Corpus,3,asymmetric,0.9099999999999999,0.46172626475494544
75% Corpus,3,asymmetric,symmetric,0.4005935407248994
75% Corpus,4,0.01,0.01,0.33583575915166125
75% Corpus,4,0.01,0.31,0.4812862118641779
75% Corpus,4,0.01,0.61,0.5439185380688574
75% Corpus,4,0.01,0.9099999999999999,0.4335003723786091
75% Corpus,4,0.01,symmetric,0.3896038228945366
75% Corpus,4,0.31,0.01,0.37148644291227406
75% Corpus,4,0.31,0.31,0.526052394308917
75% Corpus,4,0.31,0.61,0.5343789085494332
75% Corpus,4,0.31,0.9099999999999999,0.5168030497519418
75% Corpus,4,0.31,symmetric,0.453618662880913
75% Corpus,4,0.61,0.01,0.422654818795944
75% Corpus,4,0.61,0.31,0.5707126954082208
75% Corpus,4,0.61,0.61,0.5475211437347308
75% Corpus,4,0.61,0.9099999999999999,0.5171475184737855
75% Corpus,4,0.61,symmetric,0.531378959649931
75% Corpus,4,0.9099999999999999,0.01,0.3841845266255637
75% Corpus,4,0.9099999999999999,0.31,0.5300496427306699
75% Corpus,4,0.9099999999999999,0.61,0.5270272662255162
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.5082160495349124
75% Corpus,4,0.9099999999999999,symmetric,0.4959927047836573
75% Corpus,4,symmetric,0.01,0.35811416444298116
75% Corpus,4,symmetric,0.31,0.5189543158149259
75% Corpus,4,symmetric,0.61,0.5284374231599742
75% Corpus,4,symmetric,0.9099999999999999,0.5607923750808338
75% Corpus,4,symmetric,symmetric,0.45527406638897966
75% Corpus,4,asymmetric,0.01,0.42953987105637637
75% Corpus,4,asymmetric,0.31,0.4169695715759258
75% Corpus,4,asymmetric,0.61,0.4618075363723023
75% Corpus,4,asymmetric,0.9099999999999999,0.46172626475494544
75% Corpus,4,asymmetric,symmetric,0.4005935407248994
75% Corpus,5,0.01,0.01,0.33583575915166125
75% Corpus,5,0.01,0.31,0.4812862118641779
75% Corpus,5,0.01,0.61,0.5439185380688574
75% Corpus,5,0.01,0.9099999999999999,0.4335003723786091
75% Corpus,5,0.01,symmetric,0.3896038228945366
75% Corpus,5,0.31,0.01,0.37148644291227406
75% Corpus,5,0.31,0.31,0.526052394308917
75% Corpus,5,0.31,0.61,0.5343789085494332
75% Corpus,5,0.31,0.9099999999999999,0.5168030497519418
75% Corpus,5,0.31,symmetric,0.453618662880913
75% Corpus,5,0.61,0.01,0.422654818795944
75% Corpus,5,0.61,0.31,0.5707126954082208
75% Corpus,5,0.61,0.61,0.5475211437347308
75% Corpus,5,0.61,0.9099999999999999,0.5171475184737855
75% Corpus,5,0.61,symmetric,0.531378959649931
75% Corpus,5,0.9099999999999999,0.01,0.3841845266255637
75% Corpus,5,0.9099999999999999,0.31,0.5300496427306699
75% Corpus,5,0.9099999999999999,0.61,0.5270272662255162
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5082160495349124
75% Corpus,5,0.9099999999999999,symmetric,0.4959927047836573
75% Corpus,5,symmetric,0.01,0.35811416444298116
75% Corpus,5,symmetric,0.31,0.5189543158149259
75% Corpus,5,symmetric,0.61,0.5284374231599742
75% Corpus,5,symmetric,0.9099999999999999,0.5607923750808338
75% Corpus,5,symmetric,symmetric,0.45527406638897966
75% Corpus,5,asymmetric,0.01,0.42953987105637637
75% Corpus,5,asymmetric,0.31,0.4169695715759258
75% Corpus,5,asymmetric,0.61,0.4618075363723023
75% Corpus,5,asymmetric,0.9099999999999999,0.46172626475494544
75% Corpus,5,asymmetric,symmetric,0.4005935407248994
75% Corpus,6,0.01,0.01,0.33583575915166125
75% Corpus,6,0.01,0.31,0.4812862118641779
75% Corpus,6,0.01,0.61,0.5439185380688574
75% Corpus,6,0.01,0.9099999999999999,0.4335003723786091
75% Corpus,6,0.01,symmetric,0.3896038228945366
75% Corpus,6,0.31,0.01,0.37148644291227406
75% Corpus,6,0.31,0.31,0.526052394308917
75% Corpus,6,0.31,0.61,0.5343789085494332
75% Corpus,6,0.31,0.9099999999999999,0.5168030497519418
75% Corpus,6,0.31,symmetric,0.453618662880913
75% Corpus,6,0.61,0.01,0.422654818795944
75% Corpus,6,0.61,0.31,0.5707126954082208
75% Corpus,6,0.61,0.61,0.5475211437347308
75% Corpus,6,0.61,0.9099999999999999,0.5171475184737855
75% Corpus,6,0.61,symmetric,0.531378959649931
75% Corpus,6,0.9099999999999999,0.01,0.3841845266255637
75% Corpus,6,0.9099999999999999,0.31,0.5300496427306699
75% Corpus,6,0.9099999999999999,0.61,0.5270272662255162
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5082160495349124
75% Corpus,6,0.9099999999999999,symmetric,0.4959927047836573
75% Corpus,6,symmetric,0.01,0.35811416444298116
75% Corpus,6,symmetric,0.31,0.5189543158149259
75% Corpus,6,symmetric,0.61,0.5284374231599742
75% Corpus,6,symmetric,0.9099999999999999,0.5607923750808338
75% Corpus,6,symmetric,symmetric,0.45527406638897966
75% Corpus,6,asymmetric,0.01,0.42953987105637637
75% Corpus,6,asymmetric,0.31,0.4169695715759258
75% Corpus,6,asymmetric,0.61,0.4618075363723023
75% Corpus,6,asymmetric,0.9099999999999999,0.46172626475494544
75% Corpus,6,asymmetric,symmetric,0.4005935407248994
75% Corpus,7,0.01,0.01,0.33583575915166125
75% Corpus,7,0.01,0.31,0.4812862118641779
75% Corpus,7,0.01,0.61,0.5439185380688574
75% Corpus,7,0.01,0.9099999999999999,0.4335003723786091
75% Corpus,7,0.01,symmetric,0.3896038228945366
75% Corpus,7,0.31,0.01,0.37148644291227406
75% Corpus,7,0.31,0.31,0.526052394308917
75% Corpus,7,0.31,0.61,0.5343789085494332
75% Corpus,7,0.31,0.9099999999999999,0.5168030497519418
75% Corpus,7,0.31,symmetric,0.453618662880913
75% Corpus,7,0.61,0.01,0.422654818795944
75% Corpus,7,0.61,0.31,0.5707126954082208
75% Corpus,7,0.61,0.61,0.5475211437347308
75% Corpus,7,0.61,0.9099999999999999,0.5171475184737855
75% Corpus,7,0.61,symmetric,0.531378959649931
75% Corpus,7,0.9099999999999999,0.01,0.3841845266255637
75% Corpus,7,0.9099999999999999,0.31,0.5300496427306699
75% Corpus,7,0.9099999999999999,0.61,0.5270272662255162
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5082160495349124
75% Corpus,7,0.9099999999999999,symmetric,0.4959927047836573
75% Corpus,7,symmetric,0.01,0.35811416444298116
75% Corpus,7,symmetric,0.31,0.5189543158149259
75% Corpus,7,symmetric,0.61,0.5284374231599742
75% Corpus,7,symmetric,0.9099999999999999,0.5607923750808338
75% Corpus,7,symmetric,symmetric,0.45527406638897966
75% Corpus,7,asymmetric,0.01,0.42953987105637637
75% Corpus,7,asymmetric,0.31,0.4169695715759258
75% Corpus,7,asymmetric,0.61,0.4618075363723023
75% Corpus,7,asymmetric,0.9099999999999999,0.46172626475494544
75% Corpus,7,asymmetric,symmetric,0.4005935407248994
75% Corpus,8,0.01,0.01,0.33583575915166125
75% Corpus,8,0.01,0.31,0.4812862118641779
75% Corpus,8,0.01,0.61,0.5439185380688574
75% Corpus,8,0.01,0.9099999999999999,0.4335003723786091
75% Corpus,8,0.01,symmetric,0.3896038228945366
75% Corpus,8,0.31,0.01,0.37148644291227406
75% Corpus,8,0.31,0.31,0.526052394308917
75% Corpus,8,0.31,0.61,0.5343789085494332
75% Corpus,8,0.31,0.9099999999999999,0.5168030497519418
75% Corpus,8,0.31,symmetric,0.453618662880913
75% Corpus,8,0.61,0.01,0.422654818795944
75% Corpus,8,0.61,0.31,0.5707126954082208
75% Corpus,8,0.61,0.61,0.5475211437347308
75% Corpus,8,0.61,0.9099999999999999,0.5171475184737855
75% Corpus,8,0.61,symmetric,0.531378959649931
75% Corpus,8,0.9099999999999999,0.01,0.3841845266255637
75% Corpus,8,0.9099999999999999,0.31,0.5300496427306699
75% Corpus,8,0.9099999999999999,0.61,0.5270272662255162
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5082160495349124
75% Corpus,8,0.9099999999999999,symmetric,0.4959927047836573
75% Corpus,8,symmetric,0.01,0.35811416444298116
75% Corpus,8,symmetric,0.31,0.5189543158149259
75% Corpus,8,symmetric,0.61,0.5284374231599742
75% Corpus,8,symmetric,0.9099999999999999,0.5607923750808338
75% Corpus,8,symmetric,symmetric,0.45527406638897966
75% Corpus,8,asymmetric,0.01,0.42953987105637637
75% Corpus,8,asymmetric,0.31,0.4169695715759258
75% Corpus,8,asymmetric,0.61,0.4618075363723023
75% Corpus,8,asymmetric,0.9099999999999999,0.46172626475494544
75% Corpus,8,asymmetric,symmetric,0.4005935407248994
75% Corpus,9,0.01,0.01,0.33583575915166125
75% Corpus,9,0.01,0.31,0.4812862118641779
75% Corpus,9,0.01,0.61,0.5439185380688574
75% Corpus,9,0.01,0.9099999999999999,0.4335003723786091
75% Corpus,9,0.01,symmetric,0.3896038228945366
75% Corpus,9,0.31,0.01,0.37148644291227406
75% Corpus,9,0.31,0.31,0.526052394308917
75% Corpus,9,0.31,0.61,0.5343789085494332
75% Corpus,9,0.31,0.9099999999999999,0.5168030497519418
75% Corpus,9,0.31,symmetric,0.453618662880913
75% Corpus,9,0.61,0.01,0.422654818795944
75% Corpus,9,0.61,0.31,0.5707126954082208
75% Corpus,9,0.61,0.61,0.5475211437347308
75% Corpus,9,0.61,0.9099999999999999,0.5171475184737855
75% Corpus,9,0.61,symmetric,0.531378959649931
75% Corpus,9,0.9099999999999999,0.01,0.3841845266255637
75% Corpus,9,0.9099999999999999,0.31,0.5300496427306699
75% Corpus,9,0.9099999999999999,0.61,0.5270272662255162
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.5082160495349124
75% Corpus,9,0.9099999999999999,symmetric,0.4959927047836573
75% Corpus,9,symmetric,0.01,0.35811416444298116
75% Corpus,9,symmetric,0.31,0.5189543158149259
75% Corpus,9,symmetric,0.61,0.5284374231599742
75% Corpus,9,symmetric,0.9099999999999999,0.5607923750808338
75% Corpus,9,symmetric,symmetric,0.45527406638897966
75% Corpus,9,asymmetric,0.01,0.42953987105637637
75% Corpus,9,asymmetric,0.31,0.4169695715759258
75% Corpus,9,asymmetric,0.61,0.4618075363723023
75% Corpus,9,asymmetric,0.9099999999999999,0.46172626475494544
75% Corpus,9,asymmetric,symmetric,0.4005935407248994
75% Corpus,10,0.01,0.01,0.33583575915166125
75% Corpus,10,0.01,0.31,0.4812862118641779
75% Corpus,10,0.01,0.61,0.5439185380688574
75% Corpus,10,0.01,0.9099999999999999,0.4335003723786091
75% Corpus,10,0.01,symmetric,0.3896038228945366
75% Corpus,10,0.31,0.01,0.37148644291227406
75% Corpus,10,0.31,0.31,0.526052394308917
75% Corpus,10,0.31,0.61,0.5343789085494332
75% Corpus,10,0.31,0.9099999999999999,0.5168030497519418
75% Corpus,10,0.31,symmetric,0.453618662880913
75% Corpus,10,0.61,0.01,0.422654818795944
75% Corpus,10,0.61,0.31,0.5707126954082208
75% Corpus,10,0.61,0.61,0.5475211437347308
75% Corpus,10,0.61,0.9099999999999999,0.5171475184737855
75% Corpus,10,0.61,symmetric,0.531378959649931
75% Corpus,10,0.9099999999999999,0.01,0.3841845266255637
75% Corpus,10,0.9099999999999999,0.31,0.5300496427306699
75% Corpus,10,0.9099999999999999,0.61,0.5270272662255162
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5082160495349124
75% Corpus,10,0.9099999999999999,symmetric,0.4959927047836573
75% Corpus,10,symmetric,0.01,0.35811416444298116
75% Corpus,10,symmetric,0.31,0.5189543158149259
75% Corpus,10,symmetric,0.61,0.5284374231599742
75% Corpus,10,symmetric,0.9099999999999999,0.5607923750808338
75% Corpus,10,symmetric,symmetric,0.45527406638897966
75% Corpus,10,asymmetric,0.01,0.42953987105637637
75% Corpus,10,asymmetric,0.31,0.4169695715759258
75% Corpus,10,asymmetric,0.61,0.4618075363723023
75% Corpus,10,asymmetric,0.9099999999999999,0.46172626475494544
75% Corpus,10,asymmetric,symmetric,0.4005935407248994
75% Corpus,11,0.01,0.01,0.33583575915166125
75% Corpus,11,0.01,0.31,0.4812862118641779
75% Corpus,11,0.01,0.61,0.5439185380688574
75% Corpus,11,0.01,0.9099999999999999,0.4335003723786091
75% Corpus,11,0.01,symmetric,0.3896038228945366
75% Corpus,11,0.31,0.01,0.37148644291227406
75% Corpus,11,0.31,0.31,0.526052394308917
75% Corpus,11,0.31,0.61,0.5343789085494332
75% Corpus,11,0.31,0.9099999999999999,0.5168030497519418
75% Corpus,11,0.31,symmetric,0.453618662880913
75% Corpus,11,0.61,0.01,0.422654818795944
75% Corpus,11,0.61,0.31,0.5707126954082208
75% Corpus,11,0.61,0.61,0.5475211437347308
75% Corpus,11,0.61,0.9099999999999999,0.5171475184737855
75% Corpus,11,0.61,symmetric,0.531378959649931
75% Corpus,11,0.9099999999999999,0.01,0.3841845266255637
75% Corpus,11,0.9099999999999999,0.31,0.5300496427306699
75% Corpus,11,0.9099999999999999,0.61,0.5270272662255162
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.5082160495349124
75% Corpus,11,0.9099999999999999,symmetric,0.4959927047836573
75% Corpus,11,symmetric,0.01,0.35811416444298116
75% Corpus,11,symmetric,0.31,0.5189543158149259
75% Corpus,11,symmetric,0.61,0.5284374231599742
75% Corpus,11,symmetric,0.9099999999999999,0.5607923750808338
75% Corpus,11,symmetric,symmetric,0.45527406638897966
75% Corpus,11,asymmetric,0.01,0.42953987105637637
75% Corpus,11,asymmetric,0.31,0.4169695715759258
75% Corpus,11,asymmetric,0.61,0.4618075363723023
75% Corpus,11,asymmetric,0.9099999999999999,0.46172626475494544
75% Corpus,11,asymmetric,symmetric,0.4005935407248994
100% Corpus,2,0.01,0.01,0.36432934513456
100% Corpus,2,0.01,0.31,0.43150326407647216
100% Corpus,2,0.01,0.61,0.45983522325871
100% Corpus,2,0.01,0.9099999999999999,0.46837626923170783
100% Corpus,2,0.01,symmetric,0.3947963609075499
100% Corpus,2,0.31,0.01,0.3666253512638147
100% Corpus,2,0.31,0.31,0.4621227707152419
100% Corpus,2,0.31,0.61,0.4237823293046028
100% Corpus,2,0.31,0.9099999999999999,0.4252793685689996
100% Corpus,2,0.31,symmetric,0.4007722315775319
100% Corpus,2,0.61,0.01,0.3422526093086719
100% Corpus,2,0.61,0.31,0.3845482656515575
100% Corpus,2,0.61,0.61,0.4500921212243861
100% Corpus,2,0.61,0.9099999999999999,0.49553803943391717
100% Corpus,2,0.61,symmetric,0.37394102616011426
100% Corpus,2,0.9099999999999999,0.01,0.34608650742883873
100% Corpus,2,0.9099999999999999,0.31,0.41805336209804633
100% Corpus,2,0.9099999999999999,0.61,0.432227005145136
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4544167138216005
100% Corpus,2,0.9099999999999999,symmetric,0.39662874499592826
100% Corpus,2,symmetric,0.01,0.3578110248459364
100% Corpus,2,symmetric,0.31,0.44804150145025
100% Corpus,2,symmetric,0.61,0.4578119682714526
100% Corpus,2,symmetric,0.9099999999999999,0.38185532346066664
100% Corpus,2,symmetric,symmetric,0.3546426700880573
100% Corpus,2,asymmetric,0.01,0.37321857744810555
100% Corpus,2,asymmetric,0.31,0.3911825773459754
100% Corpus,2,asymmetric,0.61,0.39376053342340434
100% Corpus,2,asymmetric,0.9099999999999999,0.3724866444519101
100% Corpus,2,asymmetric,symmetric,0.4166087612052297
100% Corpus,3,0.01,0.01,0.36432934513456
100% Corpus,3,0.01,0.31,0.43150326407647216
100% Corpus,3,0.01,0.61,0.45983522325871
100% Corpus,3,0.01,0.9099999999999999,0.46837626923170783
100% Corpus,3,0.01,symmetric,0.3947963609075499
